row,t,dt,event,cause,intentOn,targetGuid,opcode,swingTimerOwner,weaponSpeedMs,rangeEligibility,arcEligibility,clientAction,distance,bearingDelta,facingDelta,clipId,clipName,clipTime,clipB,clipBTime,blendWeight,animChoice,detail
0,0.000000,0.000000,TraceStart,operator,false,0x0000000000000000,,server,,unchecked,unchecked,none,-1,,,0,Stand,0.47065854,,,,0->0:Exact,server-authoritative swing timing; client range/arc gates absent
97,1.581310,0.018541,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.5444726,-4.5608835,-4.5608835,0,Stand,2.0701365,,,,0->0:Exact,none; server owns swing cadence
98,1.598112,0.016802,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.5869315,-4.5607924,-4.5607924,0,Stand,2.0869386,,,,0->0:Exact,none; server owns swing cadence
99,1.614215,0.016104,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.6270163,-4.561056,-4.561056,0,Stand,2.1030424,,,,0->0:Exact,none; server owns swing cadence
100,1.629469,0.015253,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.6645141,-4.561077,-4.561077,0,Stand,2.1182957,,,,0->0:Exact,none; server owns swing cadence
101,1.647735,0.018267,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.7095602,-4.5612116,-4.5612116,0,Stand,2.1365626,,,,0->0:Exact,none; server owns swing cadence
102,1.664775,0.017039,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.7520041,-4.561123,-4.561123,0,Stand,2.1536016,,,,0->0:Exact,none; server owns swing cadence
103,1.679572,0.014798,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.7895019,-4.561141,-4.561141,0,Stand,2.1683993,,,,0->0:Exact,none; server owns swing cadence
104,1.697765,0.018192,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.8343198,-4.560747,-4.560747,0,Stand,2.1865916,,,,0->0:Exact,none; server owns swing cadence
105,1.712685,0.014921,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.8718177,-4.560772,-4.560772,0,Stand,2.2015123,,,,0->0:Exact,none; server owns swing cadence
106,1.731244,0.018559,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.9194506,-4.561099,-4.561099,0,Stand,2.2200716,,,,0->0:Exact,none; server owns swing cadence
107,1.748124,0.016879,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.9619095,-4.561021,-4.561021,0,Stand,2.2369509,,,,0->0:Exact,none; server owns swing cadence
108,1.762994,0.014871,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,1.9968054,-4.5608487,-4.5608487,0,Stand,2.2518215,,,,0->0:Exact,none; server owns swing cadence
109,1.781552,0.018557,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.2703788,,,,0->0:Exact,none; server owns swing cadence
110,1.798218,0.016666,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.2870445,,,,0->0:Exact,none; server owns swing cadence
111,1.814822,0.016604,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.3036485,,,,0->0:Exact,none; server owns swing cadence
112,1.829646,0.014824,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.3184726,,,,0->0:Exact,none; server owns swing cadence
113,1.847280,0.017634,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.3361065,,,,0->0:Exact,none; server owns swing cadence
114,1.862922,0.015642,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.3517482,,,,0->0:Exact,none; server owns swing cadence
115,1.879593,0.016671,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.3684194,,,,0->0:Exact,none; server owns swing cadence
116,1.898192,0.018599,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.3870187,,,,0->0:Exact,none; server owns swing cadence
117,1.915168,0.016976,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.4039948,,,,0->0:Exact,none; server owns swing cadence
118,1.932056,0.016888,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.420883,,,,0->0:Exact,none; server owns swing cadence
119,1.948447,0.016391,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.4372737,,,,0->0:Exact,none; server owns swing cadence
120,1.964611,0.016164,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.4534376,,,,0->0:Exact,none; server owns swing cadence
121,1.981498,0.016888,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.470325,,,,0->0:Exact,none; server owns swing cadence
122,1.998293,0.016795,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.4871197,,,,0->0:Exact,none; server owns swing cadence
123,2.015425,0.017132,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.504252,,,,0->0:Exact,none; server owns swing cadence
124,2.031878,0.016452,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.5207043,,,,0->0:Exact,none; server owns swing cadence
125,2.048685,0.016808,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.537512,,,,0->0:Exact,none; server owns swing cadence
126,2.065253,0.016568,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.55408,,,,0->0:Exact,none; server owns swing cadence
127,2.081486,0.016233,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.570313,,,,0->0:Exact,none; server owns swing cadence
128,2.097993,0.016507,Tick,live-sample,true,0xF13000000604A279,,server,,unchecked,unchecked,none,2.0418513,-4.5609665,-4.5609665,0,Stand,2.5868194,,,,0->0:Exact,none; server owns swing cadence
