name	security	runnable	has_subcommands
reload player_factionchange_quests	SEC_DEVELOPER	1	0
reload player_factionchange_reputations	SEC_DEVELOPER	1	0
reload player_factionchange_spells	SEC_DEVELOPER	1	0
reload points_of_interest	SEC_DEVELOPER	1	0
reload quest_end_scripts	SEC_DEVELOPER	1	0
reload quest_greeting	SEC_DEVELOPER	1	0
reload quest_start_scripts	SEC_DEVELOPER	1	0
reload quest_template	SEC_DEVELOPER	1	0
reload quest_variants	SEC_DEVELOPER	1	0
reload reference_loot_template	SEC_DEVELOPER	1	0
reload reputation_reward_rate	SEC_DEVELOPER	1	0
reload reputation_spillover_template	SEC_DEVELOPER	1	0
reload reserved_name	SEC_ADMINISTRATOR	1	0
reload skill_fishing_base_level	SEC_DEVELOPER	1	0
reload skinning_loot_template	SEC_DEVELOPER	1	0
reload spell_area	SEC_DEVELOPER	1	0
reload spell_chain	SEC_DEVELOPER	1	0
reload spell_disabled	SEC_DEVELOPER	1	0
reload spell_elixir	SEC_DEVELOPER	1	0
reload spell_group	SEC_DEVELOPER	1	0
reload spell_group_stack_rules	SEC_DEVELOPER	1	0
reload spell_learn_spell	SEC_DEVELOPER	1	0
reload spell_mod	SEC_DEVELOPER	1	0
reload spell_pet_auras	SEC_DEVELOPER	1	0
reload spell_proc_event	SEC_DEVELOPER	1	0
reload spell_proc_item_enchant	SEC_DEVELOPER	1	0
reload spell_script_target	SEC_DEVELOPER	1	0
reload spell_scripts	SEC_DEVELOPER	1	0
reload spell_target_position	SEC_DEVELOPER	1	0
reload spell_template	SEC_DEVELOPER	1	0
reload spell_threats	SEC_DEVELOPER	1	0
reload taxi_path_transitions	SEC_DEVELOPER	1	0
reload trainer_greeting	SEC_DEVELOPER	1	0
reload variables	SEC_DEVELOPER	1	0
reset	SEC_GAMEMASTER	0	1
reset honor	SEC_DEVELOPER	1	0
reset level	SEC_DEVELOPER	1	0
reset spells	SEC_DEVELOPER	1	0
reset stats	SEC_DEVELOPER	1	0
reset talents	SEC_GAMEMASTER	1	0
reset items	SEC_ADMINISTRATOR	1	0
